name,levels,threads,mean
2097152_13l_25h.csv,13,25,0.15048338095238095
2097152_13l_29h.csv,13,29,0.15081338095238098
2097152_13l_33h.csv,13,33,0.14961933333333338
2097152_13l_37h.csv,13,37,0.1495747142857143
2097152_13l_41h.csv,13,41,0.149729
2097152_14l_1h.csv,14,1,0.5963659523809524
2097152_14l_5h.csv,14,5,0.20408995238095243
2097152_14l_9h.csv,14,9,0.16131652380952377
2097152_14l_13h.csv,14,13,0.15394542857142857
2097152_14l_17h.csv,14,17,0.150373619047619
2097152_14l_21h.csv,14,21,0.15040833333333334
2097152_14l_25h.csv,14,25,0.14832357142857142
2097152_14l_29h.csv,14,29,0.14930885714285716
2097152_14l_33h.csv,14,33,0.14951604761904758
2097152_14l_37h.csv,14,37,0.1484475238095238
2097152_14l_41h.csv,14,41,0.14864471428571427
2097152_15l_1h.csv,15,1,0.572922761904762
2097152_15l_5h.csv,15,5,0.20315128571428576
2097152_15l_9h.csv,15,9,0.16216419047619046
2097152_15l_13h.csv,15,13,0.1608967619047619
2097152_15l_17h.csv,15,17,0.1568239047619048
2097152_15l_21h.csv,15,21,0.1522907142857143
2097152_15l_25h.csv,15,25,0.1517795714285714
2097152_15l_29h.csv,15,29,0.15149733333333332
2097152_15l_33h.csv,15,33,0.15139014285714283
2097152_15l_37h.csv,15,37,0.1506444285714286
2097152_15l_41h.csv,15,41,0.15158252380952378
2097152_16l_1h.csv,16,1,0.55174
2097152_16l_5h.csv,16,5,0.21795823809523812
2097152_16l_9h.csv,16,9,0.18430447619047619
2097152_16l_13h.csv,16,13,0.1740434761904762
2097152_16l_17h.csv,16,17,0.1713222857142857
2097152_16l_21h.csv,16,21,0.17246200000000003
2097152_16l_25h.csv,16,25,0.17197638095238096
2097152_16l_29h.csv,16,29,0.1734742380952381
2097152_16l_33h.csv,16,33,0.17315176190476192
2097152_16l_37h.csv,16,37,0.1770860476190476
2097152_16l_41h.csv,16,41,0.17334052380952378
2097152_17l_1h.csv,17,1,0.538809380952381
2097152_17l_5h.csv,17,5,0.26348785714285716
2097152_17l_9h.csv,17,9,0.2722136666666667
2097152_17l_13h.csv,17,13,0.2818799047619048
2097152_17l_17h.csv,17,17,0.2779794285714286
2097152_17l_21h.csv,17,21,0.2766807142857143
2097152_17l_25h.csv,17,25,0.2795279047619048
2097152_17l_29h.csv,17,29,0.2869133333333333
2097152_17l_33h.csv,17,33,0.28671180952380954
2097152_17l_37h.csv,17,37,0.28213033333333337
2097152_17l_41h.csv,17,41,0.2832511428571428
2097152_18l_1h.csv,18,1,0.5384153809523811
2097152_18l_5h.csv,18,5,0.26046076190476186
2097152_18l_9h.csv,18,9,0.2685398571428571
2097152_18l_13h.csv,18,13,0.2692145238095239
2097152_18l_17h.csv,18,17,0.27256209523809527
2097152_18l_21h.csv,18,21,0.27541033333333337
2097152_18l_25h.csv,18,25,0.27337409523809525
2097152_18l_29h.csv,18,29,0.27921380952380953
2097152_18l_33h.csv,18,33,0.27995776190476185
2097152_18l_37h.csv,18,37,0.27968223809523807
2097152_18l_41h.csv,18,41,0.2822093333333333
2097152_19l_1h.csv,19,1,0.5381700952380952
2097152_19l_5h.csv,19,5,0.27000123809523807
2097152_19l_9h.csv,19,9,0.2639423333333333
2097152_19l_13h.csv,19,13,0.271144
2097152_19l_17h.csv,19,17,0.27484571428571425
2097152_19l_21h.csv,19,21,0.2738625238095238
2097152_19l_25h.csv,19,25,0.2792727142857143
2097152_19l_29h.csv,19,29,0.2812867142857143
2097152_19l_33h.csv,19,33,0.27453414285714284
2097152_19l_37h.csv,19,37,0.2772578095238095
2097152_19l_41h.csv,19,41,0.2846655714285714
